@relation statistic_data_set

@attribute compression numeric
@attribute entropy numeric
@attribute languageIC numeric
@attribute longestWord numeric
@attribute fileSize numeric
@attribute class {yes,no}

@data
0.974138,5.029943,0.051424,116,116,yes
0.421128,5.322528,0.034198,2092,2092,yes
0.083789,5.590136,0.024066,113308,113308,yes
0.22963,5.427589,0.032544,15120,15120,yes
0.421087,5.616706,0.023405,7768,7768,yes
0.83642,5.550378,0.021232,324,324,yes
0.459239,5.460724,0.030003,2944,2944,yes
0.459302,5.480088,0.028752,3096,3096,yes
0.47202,5.613762,0.022953,6040,6040,yes
0.361756,5.422542,0.034772,10684,10684,yes
0.366302,5.654904,0.022979,25752,25752,yes
0.607623,5.604195,0.022857,892,892,yes
0.43883,5.428008,0.029763,2632,2632,yes
0.50842,5.49395,0.026185,1544,1544,yes
0.495822,5.432321,0.028976,1436,1436,yes
0.494014,5.629401,0.02291,2840,2840,yes
0.736559,5.483774,0.024534,372,372,yes
0.493444,5.652308,0.022391,5644,5644,yes
0.552426,5.566899,0.024682,2308,2308,yes
0.362558,5.480771,0.031109,7756,7756,yes
0.743226,5.975029,0.016005,4724,4724,yes
0.610465,5.494928,0.025801,860,860,yes
0.338365,5.580279,0.025788,7684,7684,yes
0.354369,4.405187,0.091177,824,824,yes
0.318894,5.436559,0.030683,3832,3832,yes
0.367066,5.34075,0.036039,3844,3844,yes
0.368468,5.667948,0.022232,13472,13472,yes
0.743276,5.973188,0.016088,4908,4908,yes
0.555172,5.441566,0.030788,1160,1160,yes
0.523204,5.371584,0.032616,1336,1336,yes
0.855,4.930267,0.069095,200,200,yes
0.462781,5.529867,0.025223,1424,1424,yes
0.642222,5.633952,0.021923,900,900,yes
0.42681,5.308667,0.036516,2596,2596,yes
0.453931,5.309221,0.035262,1628,1628,yes
0.296814,5.388439,0.033573,9292,9292,yes
0.329665,5.588941,0.02394,9540,9540,yes
0.338539,5.357314,0.035063,6788,6788,yes
0.654372,5.589714,0.023125,732,732,yes
0.51482,5.510108,0.026437,1552,1552,yes
0.205403,5.642002,0.022601,28612,28612,yes
0.474063,5.46585,0.029727,2776,2776,yes
0.184945,5.572415,0.024644,8024,8024,yes
0.736842,5.422646,0.026038,380,380,yes
0.280962,5.436096,0.031249,7816,7816,yes
0.536105,5.525947,0.025887,1828,1828,yes
0.346198,5.377322,0.033283,8784,8784,yes
0.361424,5.553991,0.028291,7108,7108,yes
0.095629,5.50259,0.028576,140292,140292,yes
0.495772,5.622111,0.022688,1892,1892,yes
0.678571,5.576984,0.022358,532,532,yes
0.256415,5.457627,0.031837,16836,16836,yes
0.391379,5.621998,0.023283,4060,4060,yes
0.335,5.52492,0.02678,5200,5200,yes
0.400306,5.449077,0.029963,8496,8496,yes
0.392415,5.461997,0.029568,3876,3876,yes
0.877193,5.63833,0.018278,228,228,yes
1.076087,5.048314,0.027473,92,92,yes
0.437792,5.699271,0.021226,3424,3424,yes
0.564241,5.428284,0.029365,1292,1292,yes
0.545807,5.617122,0.022809,1288,1288,yes
0.452256,5.589956,0.023842,2660,2660,yes
0.320916,5.301168,0.037946,6416,6416,yes
0.430371,5.388649,0.031975,1508,1508,yes
